panel,held_out,method,budget,level,mae_pp,summary
d,HC-502,music_nnls,60,balanced,10.272295309195556,donor
d,HC-502,music_nnls,60,ratio2,10.40936296468537,donor
d,HC-502,music_nnls,60,ratio4,10.801497158337318,donor
d,HC-502,music_nnls,60,ratio10,10.979850718608573,donor
d,IGTB256,music_nnls,60,balanced,6.181604248332802,donor
d,IGTB256,music_nnls,60,ratio2,6.053644194843146,donor
d,IGTB256,music_nnls,60,ratio4,6.224232387295705,donor
d,IGTB256,music_nnls,60,ratio10,6.55129421221405,donor
d,IGTB514,music_nnls,60,balanced,6.247049647649068,donor
d,IGTB514,music_nnls,60,ratio2,6.321409893170352,donor
d,IGTB514,music_nnls,60,ratio4,6.442741067621257,donor
d,IGTB514,music_nnls,60,ratio10,6.537317753783695,donor
d,IGTB1506,music_nnls,60,balanced,7.471861886988058,donor
d,IGTB1506,music_nnls,60,ratio2,7.550644004198697,donor
d,IGTB1506,music_nnls,60,ratio4,7.5064580494866755,donor
d,IGTB1506,music_nnls,60,ratio10,7.423317592052847,donor
d,IGTB508,music_nnls,60,balanced,6.653749412368011,donor
d,IGTB508,music_nnls,60,ratio2,6.791154765201603,donor
d,IGTB508,music_nnls,60,ratio4,6.532350751756299,donor
d,IGTB508,music_nnls,60,ratio10,6.850589326216537,donor
d,IGTB1650,music_nnls,60,balanced,9.975933355894822,donor
d,IGTB1650,music_nnls,60,ratio2,10.066329183802068,donor
d,IGTB1650,music_nnls,60,ratio4,10.018140941232748,donor
d,IGTB1650,music_nnls,60,ratio10,10.08043868060298,donor
d,IGTB195,music_nnls,60,balanced,8.481462258796542,donor
d,IGTB195,music_nnls,60,ratio2,8.651427699151354,donor
d,IGTB195,music_nnls,60,ratio4,8.710132936082026,donor
d,IGTB195,music_nnls,60,ratio10,8.91147949583813,donor
d,IGTB1913,music_nnls,60,balanced,9.33082558457492,donor
d,IGTB1913,music_nnls,60,ratio2,9.372163888953736,donor
d,IGTB1913,music_nnls,60,ratio4,9.309628074248126,donor
d,IGTB1913,music_nnls,60,ratio10,9.358196051581842,donor
d,HC-572,music_nnls,60,balanced,11.466264576862669,donor
d,HC-572,music_nnls,60,ratio2,11.268811431783202,donor
d,HC-572,music_nnls,60,ratio4,11.26687513341474,donor
d,HC-572,music_nnls,60,ratio10,11.059070605143193,donor
d,HC-014,music_nnls,60,balanced,11.598413138871075,donor
d,HC-014,music_nnls,60,ratio2,11.709927686359991,donor
d,HC-014,music_nnls,60,ratio4,11.701828068342031,donor
d,HC-014,music_nnls,60,ratio10,11.87423685885021,donor
d,IGTB1921,music_nnls,60,balanced,6.917104669870008,donor
d,IGTB1921,music_nnls,60,ratio2,7.052204579027451,donor
d,IGTB1921,music_nnls,60,ratio4,7.115469378679987,donor
d,IGTB1921,music_nnls,60,ratio10,7.04459189141133,donor
d,IGTB826,music_nnls,60,balanced,7.498396184782328,donor
d,IGTB826,music_nnls,60,ratio2,7.238595406745649,donor
d,IGTB826,music_nnls,60,ratio4,7.26573788490885,donor
d,IGTB826,music_nnls,60,ratio10,7.144759333829331,donor
d,IGTB1966,music_nnls,60,balanced,10.948234486441915,donor
d,IGTB1966,music_nnls,60,ratio2,10.97938264168423,donor
d,IGTB1966,music_nnls,60,ratio4,10.733654812510055,donor
d,IGTB1966,music_nnls,60,ratio10,10.882419884066412,donor
d,IGTB498,music_nnls,60,balanced,6.686134611386655,donor
d,IGTB498,music_nnls,60,ratio2,6.981236755374622,donor
d,IGTB498,music_nnls,60,ratio4,7.038519877673978,donor
d,IGTB498,music_nnls,60,ratio10,7.376529090445282,donor
d,mean,music_nnls,60,balanced,8.552094955143888,mean
d,mean,music_nnls,60,ratio2,8.603306792498676,mean
d,mean,music_nnls,60,ratio4,8.619090465827842,mean
d,mean,music_nnls,60,ratio10,8.719577963903172,mean
e,HC-502,music_nnls,120,balanced,10.430278500111111,donor
e,HC-502,music_nnls,120,ratio2,10.443882399223709,donor
e,HC-502,music_nnls,120,ratio4,10.404808437424126,donor
e,HC-502,music_nnls,120,ratio10,10.76422651749934,donor
e,IGTB256,music_nnls,120,balanced,5.961864671921209,donor
e,IGTB256,music_nnls,120,ratio2,5.99354331518135,donor
e,IGTB256,music_nnls,120,ratio4,6.123123127192447,donor
e,IGTB256,music_nnls,120,ratio10,6.247369242646371,donor
e,IGTB514,music_nnls,120,balanced,5.87723956149511,donor
e,IGTB514,music_nnls,120,ratio2,6.055241821425247,donor
e,IGTB514,music_nnls,120,ratio4,6.100319907737664,donor
e,IGTB514,music_nnls,120,ratio10,6.4869527688782735,donor
e,IGTB1506,music_nnls,120,balanced,7.69606360239881,donor
e,IGTB1506,music_nnls,120,ratio2,7.717063052612929,donor
e,IGTB1506,music_nnls,120,ratio4,7.590208219730077,donor
e,IGTB1506,music_nnls,120,ratio10,7.620898046623767,donor
e,IGTB508,music_nnls,120,balanced,6.592124325674341,donor
e,IGTB508,music_nnls,120,ratio2,6.652554659762221,donor
e,IGTB508,music_nnls,120,ratio4,6.649546595322962,donor
e,IGTB508,music_nnls,120,ratio10,6.555237227396825,donor
e,IGTB1650,music_nnls,120,balanced,10.118677507117251,donor
