method,sample_id,budget,B_pred,T_pred,NK_pred,Monocytes_pred,B_truth,T_truth,NK_truth,Monocytes_truth
weighted,CR3L,60,0.0,0.0,0.4269253380937531,0.573074661906247,0.12066279241678128,0.5750076764735985,0.1228235775778735,0.1815059535317464
weighted,CR3L,300,0.0,0.0,0.4400030171461502,0.5599969828538498,0.12066279241678128,0.5750076764735985,0.1228235775778735,0.1815059535317464
weighted,CYFZ,60,0.0,0.0,0.6604086340823438,0.33959136591765615,0.0931952662721893,0.556440600819299,0.1593081474738279,0.1910559854346836
weighted,CYFZ,300,0.0,0.0,0.6905223213258324,0.3094776786741676,0.0931952662721893,0.556440600819299,0.1593081474738279,0.1910559854346836
weighted,CZJE,60,0.0,0.0,0.46288932711975167,0.5371106728802483,0.1365250134480903,0.4483055406132329,0.1699838622915546,0.2451855836471221
weighted,CZJE,300,0.0,0.0,0.4617108826394728,0.5382891173605272,0.1365250134480903,0.4483055406132329,0.1699838622915546,0.2451855836471221
weighted,FLWA,60,0.0,0.0,0.5473968992540168,0.4526031007459832,0.0935270625448008,0.4472573359578559,0.22187076881065892,0.23734483268668433
weighted,FLWA,300,0.0,0.0,0.5697219538699891,0.43027804613001097,0.0935270625448008,0.4472573359578559,0.22187076881065892,0.23734483268668433
weighted,FY2H,60,0.0,0.0,0.4531421652450365,0.5468578347549634,0.074961853539234,0.5433571049812244,0.0281363965933316,0.3535446448862099
weighted,FY2H,300,0.0,0.0,0.47711652519435044,0.5228834748056496,0.074961853539234,0.5433571049812244,0.0281363965933316,0.3535446448862099
weighted,G4YW,60,0.0,0.0,0.5199475109504421,0.4800524890495578,0.0753981428923327,0.5013441004166176,0.1874243608829294,0.23583339580812032
weighted,G4YW,300,0.0,0.0,0.5271590864828019,0.4728409135171982,0.0753981428923327,0.5013441004166176,0.1874243608829294,0.23583339580812032
